,Balls_played,Batting_Hand,Bowling_Skill,Country,DOB,Econ_Rate,Over_count,Player_Id,Player_Name,Runs,Strike_Rate,cluster
295,,,Left-arm fast,Australia,30-Jan-90,7.11,102.0,378,MA Starc,725.0,,2
296,,,Legbreak,India,8-Oct-71,7.71,112.33333333333333,370,PV Tambe,866.0,,2
297,,,Legbreak googly,India,23-Jul-90,7.91,158.0,382,YS Chahal,1249.0,,2
298,,,Right-arm medium-fast,India,19-Feb-90,7.63,85.5,356,R Dhawan,652.0,,2
299,,,Right-arm fast-medium,India,6-Feb-83,7.65,157.83333333333334,77,S Sreesanth,1208.0,,2
300,,,Slow left-arm orthodox,India,12-Dec-81,7.31,142.83333333333334,27,Yuvraj Singh,1044.0,,2
301,,,Left-arm fast,Australia,2-Nov-81,7.86,173.83333333333334,357,MG Johnson,1367.0,,2
302,,,Right-arm fast-medium,Australia,4-May-83,7.66,83.0,258,DT Christian,636.0,,2
303,,,Right-arm medium-fast,New Zealand,11-Dec-88,8.0,104.16666666666667,377,TG Southee,833.0,,2
304,,,Right-arm medium,India,3-Jun-84,7.38,86.16666666666667,255,STR Binny,636.0,,2
305,,,Left-arm medium,India,18-Oct-91,8.33,119.33333333333333,346,JD Unadkat,994.0,,2
306,,,Left-arm fast-medium,Australia,24-Jul-81,7.1,100.0,248,DE Bollinger,710.0,,2
307,,,Right-arm offbreak,India,30-Apr-87,7.01,155.83333333333334,235,R Sharma,1093.0,,2
308,,,Left-arm fast,Australia,16-May-76,7.05,114.83333333333333,223,DP Nannes,810.0,,2
309,,,Right-arm medium,India,6-Dec-93,8.21,118.33333333333333,375,JJ Bumrah,971.0,,2
310,,,Right-arm fast,Australia,22-Feb-83,7.03,89.0,238,SW Tait,626.0,,2
311,,,Right-arm fast-medium,Sri Lanka,2-Jun-87,7.97,129.33333333333334,191,AD Mathews,1031.0,,2
312,,,Slow left-arm orthodox,India,7-Sep-92,7.67,95.66666666666667,256,Harmeet Singh,734.0,,2
313,,,Right-arm offbreak,West Indies,21-Sep-79,7.74,96.5,162,CH Gayle,747.0,,2
314,,,Right-arm fast-medium,Australia,1-Feb-87,7.82,128.33333333333334,163,MC Henriques,1004.0,,2
315,,,Right-arm medium-fast,India,21-Jun-81,7.67,81.0,196,A Singh,621.0,,2
